<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.YAHOO,D,20140404,000000,34.2600000
US1.YAHOO,D,20140407,000000,33.0800000
US1.YAHOO,D,20140408,000000,33.8400000
US1.YAHOO,D,20140409,000000,34.8700000
US1.YAHOO,D,20140410,000000,33.4700000
US1.YAHOO,D,20140411,000000,32.8650000
US1.YAHOO,D,20140414,000000,33.4400000
US1.YAHOO,D,20140415,000000,34.2200000
US1.YAHOO,D,20140416,000000,36.3300000
US1.YAHOO,D,20140417,000000,36.3800000
US1.YAHOO,D,20140421,000000,36.4000000
US1.YAHOO,D,20140422,000000,36.1350000
US1.YAHOO,D,20140423,000000,35.4400000
US1.YAHOO,D,20140424,000000,35.2050000
US1.YAHOO,D,20140425,000000,34.4900000
US1.YAHOO,D,20140428,000000,33.9900000
US1.YAHOO,D,20140429,000000,35.8200000
US1.YAHOO,D,20140430,000000,35.9500000
US1.YAHOO,D,20140501,000000,36.5150000
US1.YAHOO,D,20140502,000000,36.8700000
US1.YAHOO,D,20140505,000000,36.9100000
US1.YAHOO,D,20140506,000000,36.5050000
US1.YAHOO,D,20140507,000000,34.0700000
US1.YAHOO,D,20140508,000000,33.9100000
US1.YAHOO,D,20140509,000000,33.7600000
US1.YAHOO,D,20140512,000000,34.4500000
US1.YAHOO,D,20140513,000000,34.3950000
US1.YAHOO,D,20140514,000000,34.1700000
US1.YAHOO,D,20140515,000000,33.7900000
US1.YAHOO,D,20140516,000000,33.4000000
US1.YAHOO,D,20140519,000000,33.9150000
US1.YAHOO,D,20140520,000000,33.8750000
US1.YAHOO,D,20140521,000000,34.3300000
US1.YAHOO,D,20140522,000000,34.7000000
US1.YAHOO,D,20140523,000000,35.0100000
US1.YAHOO,D,20140527,000000,35.1050000
US1.YAHOO,D,20140528,000000,34.8000000
US1.YAHOO,D,20140529,000000,34.8950000
US1.YAHOO,D,20140530,000000,34.6500000
US1.YAHOO,D,20140602,000000,34.8800000
US1.YAHOO,D,20140603,000000,34.6500000
US1.YAHOO,D,20140604,000000,34.7400000
US1.YAHOO,D,20140605,000000,34.9150000
US1.YAHOO,D,20140606,000000,35.9200000
US1.YAHOO,D,20140609,000000,36.0450000
US1.YAHOO,D,20140610,000000,36.3100000
US1.YAHOO,D,20140611,000000,36.6300000
US1.YAHOO,D,20140612,000000,36.7800000
US1.YAHOO,D,20140613,000000,36.9500000
US1.YAHOO,D,20140616,000000,34.8000000
US1.YAHOO,D,20140617,000000,34.4250000
US1.YAHOO,D,20140618,000000,34.9200000
US1.YAHOO,D,20140619,000000,34.6550000
US1.YAHOO,D,20140620,000000,34.0250000
US1.YAHOO,D,20140623,000000,33.6300000
US1.YAHOO,D,20140624,000000,33.4800000
US1.YAHOO,D,20140625,000000,33.2700000
US1.YAHOO,D,20140626,000000,33.6350000
US1.YAHOO,D,20140627,000000,34.2350000
US1.YAHOO,D,20140630,000000,35.1200000
US1.YAHOO,D,20140701,000000,35.3400000
US1.YAHOO,D,20140702,000000,35.8900000
US1.YAHOO,D,20140703,000000,36.1400000
US1.YAHOO,D,20140707,000000,35.5300000
US1.YAHOO,D,20140708,000000,34.5300000
US1.YAHOO,D,20140709,000000,34.8500000
US1.YAHOO,D,20140710,000000,34.9300000
US1.YAHOO,D,20140711,000000,35.4050000
US1.YAHOO,D,20140714,000000,35.6750000
US1.YAHOO,D,20140715,000000,35.6300000
US1.YAHOO,D,20140716,000000,33.7850000
US1.YAHOO,D,20140717,000000,33.2100000
US1.YAHOO,D,20140718,000000,33.3350000
US1.YAHOO,D,20140721,000000,33.2800000
US1.YAHOO,D,20140722,000000,33.5900000
US1.YAHOO,D,20140723,000000,34.7200000
US1.YAHOO,D,20140724,000000,36.1700000
US1.YAHOO,D,20140725,000000,36.1200000
US1.YAHOO,D,20140728,000000,35.8800000
US1.YAHOO,D,20140729,000000,35.6800000
US1.YAHOO,D,20140730,000000,36.5950000
US1.YAHOO,D,20140731,000000,35.8400000
US1.YAHOO,D,20140801,000000,35.6150000
US1.YAHOO,D,20140804,000000,36.5450000
US1.YAHOO,D,20140805,000000,35.6700000
US1.YAHOO,D,20140806,000000,35.7800000
US1.YAHOO,D,20140807,000000,35.6600000
US1.YAHOO,D,20140808,000000,35.9400000
US1.YAHOO,D,20140811,000000,35.8000000
US1.YAHOO,D,20140812,000000,35.5200000
US1.YAHOO,D,20140813,000000,36.1900000
US1.YAHOO,D,20140814,000000,36.3700000
US1.YAHOO,D,20140815,000000,36.4750000
US1.YAHOO,D,20140818,000000,37.3900000
US1.YAHOO,D,20140819,000000,37.8150000
US1.YAHOO,D,20140820,000000,37.5000000
US1.YAHOO,D,20140821,000000,37.6400000
US1.YAHOO,D,20140822,000000,38.0100000
US1.YAHOO,D,20140825,000000,37.6950000
US1.YAHOO,D,20140826,000000,37.7950000
US1.YAHOO,D,20140827,000000,38.1700000
US1.YAHOO,D,20140828,000000,38.2900000
US1.YAHOO,D,20140829,000000,38.5100000
US1.YAHOO,D,20140902,000000,39.2700000
US1.YAHOO,D,20140903,000000,38.8550000
US1.YAHOO,D,20140904,000000,39.1850000
US1.YAHOO,D,20140905,000000,39.5800000
US1.YAHOO,D,20140908,000000,41.8100000
US1.YAHOO,D,20140909,000000,40.7800000
US1.YAHOO,D,20140910,000000,41.1400000
US1.YAHOO,D,20140911,000000,41.2500000
US1.YAHOO,D,20140912,000000,42.8900000
US1.YAHOO,D,20140915,000000,42.5400000
US1.YAHOO,D,20140916,000000,42.7100000
US1.YAHOO,D,20140917,000000,42.5700000
US1.YAHOO,D,20140918,000000,42.0900000
US1.YAHOO,D,20140919,000000,40.9300000
US1.YAHOO,D,20140922,000000,38.6500000
US1.YAHOO,D,20140923,000000,39.0500000
US1.YAHOO,D,20140924,000000,39.8900000
US1.YAHOO,D,20140925,000000,38.9600000
US1.YAHOO,D,20140926,000000,40.6600000
US1.YAHOO,D,20140929,000000,40.5400000
US1.YAHOO,D,20140930,000000,40.7500000
US1.YAHOO,D,20141001,000000,40.3300000
US1.YAHOO,D,20141002,000000,40.5100000
US1.YAHOO,D,20141003,000000,41.0200000
US1.YAHOO,D,20141006,000000,41.5100000
US1.YAHOO,D,20141007,000000,40.9300000
US1.YAHOO,D,20141008,000000,41.0700000
US1.YAHOO,D,20141009,000000,41.1000000
US1.YAHOO,D,20141010,000000,39.6100000
US1.YAHOO,D,20141013,000000,38.4000000
US1.YAHOO,D,20141014,000000,37.9800000
US1.YAHOO,D,20141015,000000,37.8200000
US1.YAHOO,D,20141016,000000,38.1100000
US1.YAHOO,D,20141017,000000,38.4550000
US1.YAHOO,D,20141020,000000,39.2700000
US1.YAHOO,D,20141021,000000,40.1600000
US1.YAHOO,D,20141022,000000,41.9950000
US1.YAHOO,D,20141023,000000,42.5950000
US1.YAHOO,D,20141024,000000,43.5000000
US1.YAHOO,D,20141027,000000,44.7100000
US1.YAHOO,D,20141028,000000,45.8600000
US1.YAHOO,D,20141029,000000,45.4200000
US1.YAHOO,D,20141030,000000,45.6200000
US1.YAHOO,D,20141031,000000,46.0200000
US1.YAHOO,D,20141103,000000,46.3100000
US1.YAHOO,D,20141104,000000,47.0700000
US1.YAHOO,D,20141105,000000,47.4500000
US1.YAHOO,D,20141106,000000,47.9300000
US1.YAHOO,D,20141107,000000,48.5400000
US1.YAHOO,D,20141110,000000,49.4100000
US1.YAHOO,D,20141111,000000,49.0600000
US1.YAHOO,D,20141112,000000,50.6000000
US1.YAHOO,D,20141113,000000,50.4900000
US1.YAHOO,D,20141114,000000,51.7550000
US1.YAHOO,D,20141117,000000,52.3600000
US1.YAHOO,D,20141118,000000,51.7300000
US1.YAHOO,D,20141119,000000,50.5800000
US1.YAHOO,D,20141120,000000,51.2400000
US1.YAHOO,D,20141121,000000,51.0200000
US1.YAHOO,D,20141124,000000,51.8300000
US1.YAHOO,D,20141125,000000,51.7200000
US1.YAHOO,D,20141126,000000,51.9200000
US1.YAHOO,D,20141128,000000,51.7400000
US1.YAHOO,D,20141201,000000,50.1000000
US1.YAHOO,D,20141202,000000,50.6600000
US1.YAHOO,D,20141203,000000,50.2700000
US1.YAHOO,D,20141204,000000,50.4000000
US1.YAHOO,D,20141205,000000,50.9800000
US1.YAHOO,D,20141208,000000,49.6400000
US1.YAHOO,D,20141209,000000,50.5000000
US1.YAHOO,D,20141210,000000,49.2300000
US1.YAHOO,D,20141211,000000,49.9400000
US1.YAHOO,D,20141212,000000,50.2500000
US1.YAHOO,D,20141215,000000,49.8200000
US1.YAHOO,D,20141216,000000,48.8500000
US1.YAHOO,D,20141217,000000,50.1200000
US1.YAHOO,D,20141218,000000,50.9000000
US1.YAHOO,D,20141219,000000,50.9400000
US1.YAHOO,D,20141222,000000,51.1500000
US1.YAHOO,D,20141223,000000,50.0200000
US1.YAHOO,D,20141224,000000,50.6500000
US1.YAHOO,D,20141226,000000,50.8600000
US1.YAHOO,D,20141229,000000,50.5500000
US1.YAHOO,D,20141230,000000,51.2150000
US1.YAHOO,D,20141231,000000,50.5300000
US1.YAHOO,D,20150102,000000,50.1700000
US1.YAHOO,D,20150105,000000,49.1350000
US1.YAHOO,D,20150106,000000,49.1900000
US1.YAHOO,D,20150107,000000,48.5800000
US1.YAHOO,D,20150108,000000,50.2200000
US1.YAHOO,D,20150109,000000,49.7300000
US1.YAHOO,D,20150112,000000,48.8000000
US1.YAHOO,D,20150113,000000,48.2900000
US1.YAHOO,D,20150114,000000,47.5000000
US1.YAHOO,D,20150115,000000,46.2100000
US1.YAHOO,D,20150116,000000,46.4500000
US1.YAHOO,D,20150120,000000,47.6400000
US1.YAHOO,D,20150121,000000,48.1800000
US1.YAHOO,D,20150122,000000,48.8800000
US1.YAHOO,D,20150123,000000,48.9600000
US1.YAHOO,D,20150126,000000,49.4300000
US1.YAHOO,D,20150127,000000,47.9900000
US1.YAHOO,D,20150128,000000,46.4700000
US1.YAHOO,D,20150129,000000,43.7200000
US1.YAHOO,D,20150130,000000,43.9900000
US1.YAHOO,D,20150202,000000,44.6800000
US1.YAHOO,D,20150203,000000,44.6700000
US1.YAHOO,D,20150204,000000,44.0400000
US1.YAHOO,D,20150205,000000,43.5400000
US1.YAHOO,D,20150206,000000,42.9400000
US1.YAHOO,D,20150209,000000,42.5700000
US1.YAHOO,D,20150210,000000,43.0800000
US1.YAHOO,D,20150211,000000,42.9500000
US1.YAHOO,D,20150212,000000,43.9300000
US1.YAHOO,D,20150213,000000,44.4100000
US1.YAHOO,D,20150217,000000,43.5400000
US1.YAHOO,D,20150218,000000,43.6350000
US1.YAHOO,D,20150219,000000,44.3900000
US1.YAHOO,D,20150220,000000,44.1200000
US1.YAHOO,D,20150223,000000,43.5300000
US1.YAHOO,D,20150224,000000,43.3800000
US1.YAHOO,D,20150225,000000,44.4300000
US1.YAHOO,D,20150226,000000,44.4500000
US1.YAHOO,D,20150227,000000,44.2800000
US1.YAHOO,D,20150302,000000,44.1000000
US1.YAHOO,D,20150303,000000,42.6300000
US1.YAHOO,D,20150304,000000,43.9950000
US1.YAHOO,D,20150305,000000,44.1600000
US1.YAHOO,D,20150306,000000,43.4500000
US1.YAHOO,D,20150309,000000,42.9600000
US1.YAHOO,D,20150310,000000,42.6800000
US1.YAHOO,D,20150311,000000,42.5200000
US1.YAHOO,D,20150312,000000,42.9500000
US1.YAHOO,D,20150313,000000,42.8700000
US1.YAHOO,D,20150316,000000,43.5100000
US1.YAHOO,D,20150317,000000,43.7900000
US1.YAHOO,D,20150318,000000,44.6800000
US1.YAHOO,D,20150319,000000,44.9900000
US1.YAHOO,D,20150320,000000,45.0600000
US1.YAHOO,D,20150323,000000,44.7100000
US1.YAHOO,D,20150324,000000,44.4400000
US1.YAHOO,D,20150325,000000,44.2300000
US1.YAHOO,D,20150326,000000,44.4800000
US1.YAHOO,D,20150327,000000,45.1000000
US1.YAHOO,D,20150330,000000,44.9400000
US1.YAHOO,D,20150331,000000,44.4850000
US1.YAHOO,D,20150401,000000,44.1000000
US1.YAHOO,D,20150402,000000,44.1400000
US1.YAHOO,D,20150406,000000,43.6650000
US1.YAHOO,D,20150407,000000,43.6000000
US1.YAHOO,D,20150408,000000,45.1700000
US1.YAHOO,D,20150409,000000,45.6350000
US1.YAHOO,D,20150410,000000,45.1800000
US1.YAHOO,D,20150413,000000,44.7550000
US1.YAHOO,D,20150414,000000,45.5200000
US1.YAHOO,D,20150415,000000,45.7200000
US1.YAHOO,D,20150416,000000,45.7750000
US1.YAHOO,D,20150417,000000,44.4500000
US1.YAHOO,D,20150420,000000,44.6500000
US1.YAHOO,D,20150421,000000,44.4600000
US1.YAHOO,D,20150422,000000,43.9550000
US1.YAHOO,D,20150423,000000,43.7300000
US1.YAHOO,D,20150424,000000,44.5200000
US1.YAHOO,D,20150427,000000,44.3200000
US1.YAHOO,D,20150428,000000,44.3350000
US1.YAHOO,D,20150429,000000,43.2800000
US1.YAHOO,D,20150430,000000,42.5450000
US1.YAHOO,D,20150501,000000,42.5100000
US1.YAHOO,D,20150504,000000,42.0300000
US1.YAHOO,D,20150505,000000,41.2900000
US1.YAHOO,D,20150506,000000,41.6600000
US1.YAHOO,D,20150507,000000,43.8700000
US1.YAHOO,D,20150508,000000,44.0700000
US1.YAHOO,D,20150511,000000,43.6000000
US1.YAHOO,D,20150512,000000,43.8400000
US1.YAHOO,D,20150513,000000,44.3900000
US1.YAHOO,D,20150514,000000,44.9450000
US1.YAHOO,D,20150515,000000,44.7500000
US1.YAHOO,D,20150518,000000,44.3500000
US1.YAHOO,D,20150519,000000,41.0200000
US1.YAHOO,D,20150520,000000,42.7850000
