<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.YNDX,D,20140404,000000,29.9700000
US1.YNDX,D,20140407,000000,28.5000000
US1.YNDX,D,20140408,000000,29.0100000
US1.YNDX,D,20140409,000000,29.5300000
US1.YNDX,D,20140410,000000,28.4850000
US1.YNDX,D,20140411,000000,28.0100000
US1.YNDX,D,20140414,000000,27.5100000
US1.YNDX,D,20140415,000000,27.3750000
US1.YNDX,D,20140416,000000,28.0800000
US1.YNDX,D,20140417,000000,29.9600000
US1.YNDX,D,20140421,000000,29.3700000
US1.YNDX,D,20140422,000000,29.0600000
US1.YNDX,D,20140423,000000,28.2100000
US1.YNDX,D,20140424,000000,26.7000000
US1.YNDX,D,20140425,000000,24.0000000
US1.YNDX,D,20140428,000000,24.0100000
US1.YNDX,D,20140429,000000,25.5900000
US1.YNDX,D,20140430,000000,26.5000000
US1.YNDX,D,20140501,000000,26.5300000
US1.YNDX,D,20140502,000000,26.5300000
US1.YNDX,D,20140505,000000,26.8400000
US1.YNDX,D,20140506,000000,27.0100000
US1.YNDX,D,20140507,000000,27.2600000
US1.YNDX,D,20140508,000000,27.8100000
US1.YNDX,D,20140509,000000,28.3100000
US1.YNDX,D,20140512,000000,29.2900000
US1.YNDX,D,20140513,000000,29.5500000
US1.YNDX,D,20140514,000000,29.9600000
US1.YNDX,D,20140515,000000,29.8400000
US1.YNDX,D,20140516,000000,30.0100000
US1.YNDX,D,20140519,000000,30.5900000
US1.YNDX,D,20140520,000000,30.8600000
US1.YNDX,D,20140521,000000,31.5300000
US1.YNDX,D,20140522,000000,32.1100000
US1.YNDX,D,20140523,000000,32.2100000
US1.YNDX,D,20140527,000000,32.7500000
US1.YNDX,D,20140528,000000,31.9400000
US1.YNDX,D,20140529,000000,31.9100000
US1.YNDX,D,20140530,000000,31.1300000
US1.YNDX,D,20140602,000000,31.6600000
US1.YNDX,D,20140603,000000,32.4000000
US1.YNDX,D,20140604,000000,32.9900000
US1.YNDX,D,20140605,000000,33.1400000
US1.YNDX,D,20140606,000000,33.7150000
US1.YNDX,D,20140609,000000,34.0000000
US1.YNDX,D,20140610,000000,33.9400000
US1.YNDX,D,20140611,000000,34.1550000
US1.YNDX,D,20140612,000000,34.1000000
US1.YNDX,D,20140613,000000,33.7250000
US1.YNDX,D,20140616,000000,33.9500000
US1.YNDX,D,20140617,000000,34.0950000
US1.YNDX,D,20140618,000000,34.0800000
US1.YNDX,D,20140619,000000,33.7850000
US1.YNDX,D,20140620,000000,35.5250000
US1.YNDX,D,20140623,000000,35.6000000
US1.YNDX,D,20140624,000000,34.6200000
US1.YNDX,D,20140625,000000,34.9200000
US1.YNDX,D,20140626,000000,35.0200000
US1.YNDX,D,20140627,000000,35.1500000
US1.YNDX,D,20140630,000000,35.6400000
US1.YNDX,D,20140701,000000,35.0050000
US1.YNDX,D,20140702,000000,34.6500000
US1.YNDX,D,20140703,000000,34.5600000
US1.YNDX,D,20140707,000000,33.3800000
US1.YNDX,D,20140708,000000,31.2700000
US1.YNDX,D,20140709,000000,32.1400000
US1.YNDX,D,20140710,000000,31.6850000
US1.YNDX,D,20140711,000000,32.1000000
US1.YNDX,D,20140714,000000,32.5000000
US1.YNDX,D,20140715,000000,32.1400000
US1.YNDX,D,20140716,000000,31.8300000
US1.YNDX,D,20140717,000000,30.0300000
US1.YNDX,D,20140718,000000,30.7300000
US1.YNDX,D,20140721,000000,29.6200000
US1.YNDX,D,20140722,000000,30.1950000
US1.YNDX,D,20140723,000000,30.7550000
US1.YNDX,D,20140724,000000,31.1800000
US1.YNDX,D,20140725,000000,30.5400000
