<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US2.AAPL,D,20140404,000000,531.9000000
US2.AAPL,D,20140407,000000,523.4650000
US2.AAPL,D,20140408,000000,523.5200000
US2.AAPL,D,20140409,000000,530.4400000
US2.AAPL,D,20140410,000000,523.6000000
US2.AAPL,D,20140411,000000,519.6200000
US2.AAPL,D,20140414,000000,521.6200000
US2.AAPL,D,20140415,000000,517.9800000
US2.AAPL,D,20140416,000000,518.9700000
US2.AAPL,D,20140417,000000,525.0000000
US2.AAPL,D,20140421,000000,531.0950000
US2.AAPL,D,20140422,000000,531.6750000
US2.AAPL,D,20140423,000000,524.6500000
US2.AAPL,D,20140424,000000,567.5400000
US2.AAPL,D,20140425,000000,571.9600000
US2.AAPL,D,20140428,000000,594.2800000
US2.AAPL,D,20140429,000000,592.3750000
US2.AAPL,D,20140430,000000,590.0000000
US2.AAPL,D,20140501,000000,591.4100000
US2.AAPL,D,20140502,000000,592.5100000
US2.AAPL,D,20140505,000000,600.9900000
US2.AAPL,D,20140506,000000,594.4300000
US2.AAPL,D,20140507,000000,592.3500000
US2.AAPL,D,20140508,000000,587.7000000
US2.AAPL,D,20140509,000000,585.6100000
US2.AAPL,D,20140512,000000,592.6850000
US2.AAPL,D,20140513,000000,593.3200000
US2.AAPL,D,20140514,000000,593.6400000
US2.AAPL,D,20140515,000000,588.9300000
US2.AAPL,D,20140516,000000,597.1900000
US2.AAPL,D,20140519,000000,604.9700000
US2.AAPL,D,20140520,000000,604.6500000
US2.AAPL,D,20140521,000000,606.1000000
US2.AAPL,D,20140522,000000,607.3200000
US2.AAPL,D,20140523,000000,614.2600000
US2.AAPL,D,20140527,000000,625.3800000
US2.AAPL,D,20140528,000000,624.0200000
US2.AAPL,D,20140529,000000,635.2600000
US2.AAPL,D,20140530,000000,632.5300000
US2.AAPL,D,20140602,000000,628.6900000
US2.AAPL,D,20140603,000000,637.6300000
US2.AAPL,D,20140604,000000,644.7800000
US2.AAPL,D,20140605,000000,646.9500000
US2.AAPL,D,20140606,000000,645.4900000
US2.AAPL,D,20140609,000000,93.6600000
US2.AAPL,D,20140610,000000,94.2500000
US2.AAPL,D,20140611,000000,93.8600000
US2.AAPL,D,20140612,000000,92.2800000
US2.AAPL,D,20140613,000000,91.2600000
US2.AAPL,D,20140616,000000,92.1700000
US2.AAPL,D,20140617,000000,92.1800000
US2.AAPL,D,20140618,000000,92.2500000
US2.AAPL,D,20140619,000000,91.7400000
US2.AAPL,D,20140620,000000,90.9000000
US2.AAPL,D,20140623,000000,90.7900000
US2.AAPL,D,20140624,000000,90.3400000
US2.AAPL,D,20140625,000000,90.4500000
US2.AAPL,D,20140626,000000,90.9100000
US2.AAPL,D,20140627,000000,91.8900000
US2.AAPL,D,20140630,000000,92.9600000
US2.AAPL,D,20140701,000000,93.5200000
US2.AAPL,D,20140702,000000,93.4500000
US2.AAPL,D,20140703,000000,94.0900000
US2.AAPL,D,20140707,000000,95.9600000
US2.AAPL,D,20140708,000000,95.3400000
US2.AAPL,D,20140709,000000,95.4000000
US2.AAPL,D,20140710,000000,95.0000000
US2.AAPL,D,20140711,000000,95.2100000
US2.AAPL,D,20140714,000000,96.4400000
US2.AAPL,D,20140715,000000,95.4200000
US2.AAPL,D,20140716,000000,94.8000000
US2.AAPL,D,20140717,000000,93.0800000
US2.AAPL,D,20140718,000000,94.3000000
US2.AAPL,D,20140721,000000,93.9450000
US2.AAPL,D,20140722,000000,94.7000000
US2.AAPL,D,20140723,000000,97.2100000
US2.AAPL,D,20140724,000000,97.0200000
US2.AAPL,D,20140725,000000,97.6600000
US2.AAPL,D,20140728,000000,99.0000000
US2.AAPL,D,20140729,000000,98.4100000
US2.AAPL,D,20140730,000000,98.1300000
US2.AAPL,D,20140731,000000,95.6900000
US2.AAPL,D,20140801,000000,96.1400000
US2.AAPL,D,20140804,000000,95.6600000
US2.AAPL,D,20140805,000000,95.1200000
US2.AAPL,D,20140806,000000,94.9800000
US2.AAPL,D,20140807,000000,94.4700000
US2.AAPL,D,20140808,000000,94.7500000
US2.AAPL,D,20140811,000000,95.9600000
US2.AAPL,D,20140812,000000,95.9800000
US2.AAPL,D,20140813,000000,97.2200000
US2.AAPL,D,20140814,000000,97.4700000
US2.AAPL,D,20140815,000000,97.9900000
US2.AAPL,D,20140818,000000,99.1900000
US2.AAPL,D,20140819,000000,100.5000000
US2.AAPL,D,20140820,000000,100.5600000
US2.AAPL,D,20140821,000000,100.5000000
US2.AAPL,D,20140822,000000,101.3100000
US2.AAPL,D,20140825,000000,101.6100000
US2.AAPL,D,20140826,000000,100.9000000
US2.AAPL,D,20140827,000000,102.1300000
US2.AAPL,D,20140828,000000,102.2700000
US2.AAPL,D,20140829,000000,102.5000000
US2.AAPL,D,20140902,000000,103.2900000
US2.AAPL,D,20140903,000000,98.8600000
US2.AAPL,D,20140904,000000,98.1100000
US2.AAPL,D,20140905,000000,98.9800000
US2.AAPL,D,20140908,000000,98.3400000
US2.AAPL,D,20140909,000000,98.0000000
US2.AAPL,D,20140910,000000,100.9900000
US2.AAPL,D,20140911,000000,101.3900000
US2.AAPL,D,20140912,000000,101.6750000
US2.AAPL,D,20140915,000000,101.6100000
US2.AAPL,D,20140916,000000,100.8400000
US2.AAPL,D,20140917,000000,101.5950000
US2.AAPL,D,20140918,000000,101.7900000
US2.AAPL,D,20140919,000000,100.9700000
US2.AAPL,D,20140922,000000,101.0900000
US2.AAPL,D,20140923,000000,102.6500000
US2.AAPL,D,20140924,000000,101.7500000
US2.AAPL,D,20140925,000000,97.8900000
US2.AAPL,D,20140926,000000,100.7200000
US2.AAPL,D,20140929,000000,100.1100000
US2.AAPL,D,20140930,000000,100.7700000
US2.AAPL,D,20141001,000000,99.1900000
US2.AAPL,D,20141002,000000,99.8900000
US2.AAPL,D,20141003,000000,99.6000000
US2.AAPL,D,20141006,000000,99.6500000
US2.AAPL,D,20141007,000000,98.7500000
US2.AAPL,D,20141008,000000,100.7800000
US2.AAPL,D,20141009,000000,101.0500000
US2.AAPL,D,20141010,000000,100.7300000
US2.AAPL,D,20141013,000000,99.8400000
US2.AAPL,D,20141014,000000,98.7400000
US2.AAPL,D,20141015,000000,97.5400000
US2.AAPL,D,20141016,000000,96.2500000
US2.AAPL,D,20141017,000000,97.6800000
US2.AAPL,D,20141020,000000,99.7400000
US2.AAPL,D,20141021,000000,102.4700000
US2.AAPL,D,20141022,000000,103.0000000
US2.AAPL,D,20141023,000000,104.8300000
US2.AAPL,D,20141024,000000,105.2100000
US2.AAPL,D,20141027,000000,105.0900000
US2.AAPL,D,20141028,000000,106.7200000
US2.AAPL,D,20141029,000000,107.3400000
US2.AAPL,D,20141030,000000,106.9800000
US2.AAPL,D,20141031,000000,107.9700000
US2.AAPL,D,20141103,000000,109.3800000
US2.AAPL,D,20141104,000000,108.6100000
US2.AAPL,D,20141105,000000,108.8600000
US2.AAPL,D,20141106,000000,108.7000000
US2.AAPL,D,20141107,000000,109.0000000
US2.AAPL,D,20141110,000000,108.8100000
US2.AAPL,D,20141111,000000,109.7000000
US2.AAPL,D,20141112,000000,111.2500000
US2.AAPL,D,20141113,000000,112.8200000
US2.AAPL,D,20141114,000000,114.1900000
US2.AAPL,D,20141117,000000,113.9800000
US2.AAPL,D,20141118,000000,115.4800000
US2.AAPL,D,20141119,000000,114.6700000
US2.AAPL,D,20141120,000000,116.3000000
US2.AAPL,D,20141121,000000,116.4600000
US2.AAPL,D,20141124,000000,118.6200000
US2.AAPL,D,20141125,000000,117.6100000
US2.AAPL,D,20141126,000000,118.9900000
