<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US2.ADBE,D,20140404,000000,61.3300000
US2.ADBE,D,20140407,000000,60.4700000
US2.ADBE,D,20140408,000000,61.8300000
US2.ADBE,D,20140409,000000,63.5000000
US2.ADBE,D,20140410,000000,61.5400000
US2.ADBE,D,20140411,000000,60.5100000
US2.ADBE,D,20140414,000000,61.4000000
US2.ADBE,D,20140415,000000,62.1200000
US2.ADBE,D,20140416,000000,63.0400000
US2.ADBE,D,20140417,000000,64.0400000
US2.ADBE,D,20140421,000000,64.3000000
US2.ADBE,D,20140422,000000,64.4900000
US2.ADBE,D,20140423,000000,64.3900000
US2.ADBE,D,20140424,000000,63.2150000
US2.ADBE,D,20140425,000000,61.6000000
US2.ADBE,D,20140428,000000,60.3900000
US2.ADBE,D,20140429,000000,60.9100000
US2.ADBE,D,20140430,000000,61.7300000
US2.ADBE,D,20140501,000000,62.5800000
US2.ADBE,D,20140502,000000,61.5400000
US2.ADBE,D,20140505,000000,61.4300000
US2.ADBE,D,20140506,000000,59.4300000
US2.ADBE,D,20140507,000000,58.6500000
US2.ADBE,D,20140508,000000,59.0650000
US2.ADBE,D,20140509,000000,59.5900000
US2.ADBE,D,20140512,000000,60.6900000
US2.ADBE,D,20140513,000000,60.8150000
US2.ADBE,D,20140514,000000,60.8800000
US2.ADBE,D,20140515,000000,60.2000000
US2.ADBE,D,20140516,000000,61.6300000
US2.ADBE,D,20140519,000000,62.2400000
US2.ADBE,D,20140520,000000,61.7100000
US2.ADBE,D,20140521,000000,62.5700000
US2.ADBE,D,20140522,000000,63.1550000
US2.ADBE,D,20140523,000000,64.3100000
US2.ADBE,D,20140527,000000,65.2400000
US2.ADBE,D,20140528,000000,64.8500000
US2.ADBE,D,20140529,000000,65.4500000
US2.ADBE,D,20140530,000000,64.5300000
US2.ADBE,D,20140602,000000,64.6400000
US2.ADBE,D,20140603,000000,64.0900000
US2.ADBE,D,20140604,000000,64.1800000
US2.ADBE,D,20140605,000000,65.4600000
US2.ADBE,D,20140606,000000,66.8700000
US2.ADBE,D,20140609,000000,66.9150000
US2.ADBE,D,20140610,000000,66.9400000
US2.ADBE,D,20140611,000000,67.4700000
US2.ADBE,D,20140612,000000,66.5500000
US2.ADBE,D,20140613,000000,66.8400000
US2.ADBE,D,20140616,000000,67.6100000
US2.ADBE,D,20140617,000000,67.5100000
US2.ADBE,D,20140618,000000,73.1000000
US2.ADBE,D,20140619,000000,72.9750000
US2.ADBE,D,20140620,000000,72.6050000
US2.ADBE,D,20140623,000000,72.9000000
US2.ADBE,D,20140624,000000,72.3800000
US2.ADBE,D,20140625,000000,72.5100000
US2.ADBE,D,20140626,000000,72.8150000
US2.ADBE,D,20140627,000000,71.9900000
US2.ADBE,D,20140630,000000,72.3500000
US2.ADBE,D,20140701,000000,73.0200000
US2.ADBE,D,20140702,000000,72.7700000
US2.ADBE,D,20140703,000000,73.5800000
US2.ADBE,D,20140707,000000,72.6700000
US2.ADBE,D,20140708,000000,71.1650000
US2.ADBE,D,20140709,000000,71.5500000
US2.ADBE,D,20140710,000000,71.7000000
US2.ADBE,D,20140711,000000,72.2450000
US2.ADBE,D,20140714,000000,72.8900000
US2.ADBE,D,20140715,000000,72.3150000
US2.ADBE,D,20140716,000000,72.3800000
US2.ADBE,D,20140717,000000,71.4100000
US2.ADBE,D,20140718,000000,72.5200000
US2.ADBE,D,20140721,000000,71.9400000
US2.ADBE,D,20140722,000000,72.2500000
US2.ADBE,D,20140723,000000,72.0300000
US2.ADBE,D,20140724,000000,72.7900000
US2.ADBE,D,20140725,000000,72.6100000
US2.ADBE,D,20140728,000000,72.7300000
US2.ADBE,D,20140729,000000,72.2900000
US2.ADBE,D,20140730,000000,71.8900000
US2.ADBE,D,20140731,000000,69.1800000
US2.ADBE,D,20140801,000000,68.9400000
US2.ADBE,D,20140804,000000,68.7700000
US2.ADBE,D,20140805,000000,68.9900000
US2.ADBE,D,20140806,000000,68.2400000
US2.ADBE,D,20140807,000000,67.8400000
US2.ADBE,D,20140808,000000,68.4300000
US2.ADBE,D,20140811,000000,69.0050000
US2.ADBE,D,20140812,000000,68.8000000
US2.ADBE,D,20140813,000000,69.7850000
