<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US2.GOOG,D,20140404,000000,543.2800000
US2.GOOG,D,20140407,000000,538.1200000
US2.GOOG,D,20140408,000000,555.0000000
US2.GOOG,D,20140409,000000,564.1800000
US2.GOOG,D,20140410,000000,542.0300000
US2.GOOG,D,20140411,000000,530.7700000
US2.GOOG,D,20140414,000000,532.1300000
US2.GOOG,D,20140415,000000,536.3100000
US2.GOOG,D,20140416,000000,556.7700000
US2.GOOG,D,20140417,000000,536.8000000
US2.GOOG,D,20140421,000000,528.3200000
US2.GOOG,D,20140422,000000,534.6200000
US2.GOOG,D,20140423,000000,527.0000000
US2.GOOG,D,20140424,000000,524.7300000
US2.GOOG,D,20140425,000000,515.9300000
US2.GOOG,D,20140428,000000,517.2800000
US2.GOOG,D,20140429,000000,527.0700000
US2.GOOG,D,20140430,000000,526.9600000
US2.GOOG,D,20140501,000000,531.2500000
US2.GOOG,D,20140502,000000,528.0000000
US2.GOOG,D,20140505,000000,527.7500000
US2.GOOG,D,20140506,000000,515.1300000
US2.GOOG,D,20140507,000000,510.2200000
US2.GOOG,D,20140508,000000,510.7100000
US2.GOOG,D,20140509,000000,519.3500000
US2.GOOG,D,20140512,000000,530.1000000
US2.GOOG,D,20140513,000000,532.7000000
US2.GOOG,D,20140514,000000,526.7900000
US2.GOOG,D,20140515,000000,520.1500000
US2.GOOG,D,20140516,000000,520.8000000
US2.GOOG,D,20140519,000000,529.4300000
US2.GOOG,D,20140520,000000,529.9200000
US2.GOOG,D,20140521,000000,537.5800000
US2.GOOG,D,20140522,000000,545.8300000
US2.GOOG,D,20140523,000000,552.8500000
US2.GOOG,D,20140527,000000,565.2000000
US2.GOOG,D,20140528,000000,561.8500000
US2.GOOG,D,20140529,000000,559.9600000
US2.GOOG,D,20140530,000000,560.9300000
US2.GOOG,D,20140602,000000,554.0100000
US2.GOOG,D,20140603,000000,544.8300000
US2.GOOG,D,20140604,000000,544.8500000
US2.GOOG,D,20140605,000000,553.4000000
US2.GOOG,D,20140606,000000,555.9300000
US2.GOOG,D,20140609,000000,562.3500000
US2.GOOG,D,20140610,000000,560.5200000
US2.GOOG,D,20140611,000000,558.4300000
US2.GOOG,D,20140612,000000,551.5300000
US2.GOOG,D,20140613,000000,551.4700000
US2.GOOG,D,20140616,000000,544.4500000
US2.GOOG,D,20140617,000000,542.9500000
US2.GOOG,D,20140618,000000,553.3800000
US2.GOOG,D,20140619,000000,554.2000000
US2.GOOG,D,20140620,000000,556.6600000
US2.GOOG,D,20140623,000000,564.9800000
US2.GOOG,D,20140624,000000,564.8900000
US2.GOOG,D,20140625,000000,578.8200000
US2.GOOG,D,20140626,000000,575.5400000
US2.GOOG,D,20140627,000000,577.0700000
US2.GOOG,D,20140630,000000,575.5000000
US2.GOOG,D,20140701,000000,583.2000000
US2.GOOG,D,20140702,000000,582.0900000
US2.GOOG,D,20140703,000000,584.4300000
US2.GOOG,D,20140707,000000,582.2100000
US2.GOOG,D,20140708,000000,571.0600000
US2.GOOG,D,20140709,000000,575.7000000
US2.GOOG,D,20140710,000000,571.2900000
US2.GOOG,D,20140711,000000,578.6500000
US2.GOOG,D,20140714,000000,583.9900000
US2.GOOG,D,20140715,000000,585.0400000
US2.GOOG,D,20140716,000000,582.8800000
US2.GOOG,D,20140717,000000,573.7400000
US2.GOOG,D,20140718,000000,594.8200000
